platform,action,limit_per_account_per_day,limit_account_new,delay_min_seconds,delay_max_seconds,active_hours,note
zalo,add_friend,20,8,60,180,08:00-22:00,Acc mới dùng cột limit_account_new
zalo,message_new,30,12,60,180,08:00-22:00,Tin nhắn tới người chưa là bạn
zalo,add_group,10,5,90,240,08:00-22:00,Add ồ ạt dễ bị báo xấu
zalo,check_phone,40,20,45,120,08:00-22:00,Mô phỏng tìm bạn qua SĐT
facebook,comment,15,8,90,240,08:00-22:00,Không comment 2 bài liên tiếp; chỉ sau joined_at+3 ngày (xem WORKFLOW_FB_ZALO_FUNNEL)
facebook,join_group,3,2,120,300,08:00-22:00,Join nhóm FB theo FB_KEYWORDS
facebook,friend_request,5,3,180,360,08:00-22:00,Chỉ sau nurture comment — không ngay sau 1 comment
facebook,scrape,200,100,30,90,07:00-23:00,Giãn lệnh quét tránh rate-limit
zalo,join_group_via_link,2,1,180,360,08:00-22:00,Join nhóm Zalo từ link FB; observe_min 2 ngày
zalo,unfriend,8,5,120,240,08:00-22:00,Sau nhắc FB/Messenger nếu có; xem FRIEND_FOLLOWUP
global,break_on_checkpoint,1,1,0,0,24h,Gặp captcha/checkpoint thì dừng acc + cảnh báo
